Question,Accepted Answer,Paraphrased Question
How can pass on a number id instead of a string id?,"<p>The values from an url will always be strings. It's your code's job to validate and convert them to what they need to be. In your case, you can use the <code>parseInt()</code> function to take a string and change it to a number.</p>

<p>You should also validate that the input is really a number, maybe using a regex or the <code>Number.isInteger</code> function.</p>

<pre><code>  ngOnInit() {
     // Get the ID that was passed with the URL
     this.activatedRoute.paramMap.subscribe(params =&gt; { 
      this.id = validateId(params.get('id')); 
  });

function validateId(id: any) : number {
    if(!Number.isNumeric(id)){
       console.error('number is not a number');
    }
    return parseInt(id);
}
</code></pre>
",What are the methods to transfer a numeric identifier instead of a string identifier?
Configuring Create.js (WYSIWYG editor),"<p>I found that I had to set  <code>state: 'browse'</code> to <code>state: 'edit'</code>  Doh!</p>
",Setting Up Create.js for a WYSIWYG Editing Experience
ForeignKey form restrictions in Django,"<p>If I understand your predicament correctly, the problem itself lies with the way you're dealing with which categories can be parents and which ones can't.  One option to avoid these problems is to actually limit the level of categories which can become parents.  For example, let's say you have the following categories:</p>

<ul>
<li>Internet

<ul>
<li>Google</li>
<li>Yahoo</li>
</ul></li>
<li>Offline

<ul>
<li>MS Office</li>
<li>OpenOffice</li>
</ul></li>
</ul>

<p>The way I usually handle this is I obviously have a parent_id FK on the categories table.  For the root elements (Internet, Offline), the parent_id would be 0.  So, when in your view you're trying to retrieve the ""parent categories"" for the dropdown, you need to decide how far down can they keep nesting.  I mostly limit this to the first level, so to choose which categories to show in your dropdown, you'd do something like:</p>

<pre><code>parents = Category.objects.filter(parent_id=0)
</code></pre>

<p>Now obviously, this limits the approach somewhat, but you can increase the level you'd like to include and work out some kind of visual identification system in your template for the dropdown (including extra spaces or dashes for each level in the hierarchy or something).</p>

<p>Anyway, sorry about the long response, and hopefully this addressed your issue somewhat.</p>
",Limitations of ForeignKey in Django Forms
How can I edit a project locally and push the changes to my vps?,"<p>You can use <code>SFTP</code> or <code>FTP</code> protocols. Using VSCode, you can also try to install <a href=""https://marketplace.visualstudio.com/items?itemName=liximomo.sftp"" rel=""nofollow noreferrer"">this SFTP extension</a>. </p>

<p>You'll then <strong>edit directly your code on your remote server</strong>, using automatic SFTP push and pull.</p>

<p>Here is more informations (from DO) about SFTP transfer : <a href=""https://www.digitalocean.com/community/tutorials/how-to-use-sftp-to-securely-transfer-files-with-a-remote-server"" rel=""nofollow noreferrer"">How To Use SFTP to Securely Transfer Files with a Remote Server</a></p>
",What are the steps to modify a project on my local machine and upload the updates to my virtual private server?
How to check two time period for overlap in django?,"<p>You can use Q object to do this query.</p>
<pre><code>from django.db.models import Q

overlapping_slots = Slot.objects.filter(
    Q(start_time__lt=new_start_time, end_time__gt=new_start_time) | 
    Q(start_time__lt=new_end_time, end_time__gt=new_end_time)
)

if overlapping_slots.exists():
    # invalidate the form here
</code></pre>
<p>Basically you are checking if there are any Slots in the DB where new_start_time is between the start and end times of that slot, and where new_end_time is between the start and end time of that slot.
documentation for Q objects: <a href=""https://docs.djangoproject.com/en/3.2/topics/db/queries/#complex-lookups-with-q-objects"" rel=""nofollow noreferrer"">https://docs.djangoproject.com/en/3.2/topics/db/queries/#complex-lookups-with-q-objects</a></p>
",What is the method to determine if two time intervals intersect in Django?
Difference between a class(namedtuple) and a namedtuple,"<p>You should know that <code>collections.namedtuple</code> is a factory function. It <em>returns</em> a subclass of a tuple which is gonna be your actual class.</p>
<p>So by doing:</p>
<pre class=""lang-py prettyprint-override""><code>class Sensor(namedtuple('Sensor', ['name', 'location', 'version', 'pressure', 'temperature'])):
    pass
</code></pre>
<p>You're subclassing this newly created namedtuple class. Just like:</p>
<pre class=""lang-py prettyprint-override""><code>class Sensor(&lt;another_class&gt;):
    pass
</code></pre>
<blockquote>
<p>what kind of function/code can be added inside class Sensor in case1?</p>
</blockquote>
<p>This is extending/subclassing another class, you can add whatever you want. But in &quot;case 2&quot;, <code>Sensor</code> is only a name/symbol which is bound to the actual namedtuple class.</p>
<p>The inheritance chain would be:</p>
<pre class=""lang-none prettyprint-override""><code>#case 1
object &gt; tuple &gt; namedtuple class(without attached symbol) &gt; Sensor

#case 2
object &gt; tuple &gt; namedtuple class(Sensor)
</code></pre>
<blockquote>
<p>but can you give some example that I can add inside class <code>Sensor</code>? to
show there is an use case or advantage of using class <code>Sensor</code>?</p>
</blockquote>
<p>For example you can have a method call <code>.store()</code> which add this namedtuple object to a database. Or maybe you can have a property which says the weather in the location of the sensor is cold or hot?</p>
<pre class=""lang-py prettyprint-override""><code>from collections import namedtuple


class Sensor(namedtuple(&quot;Sensor&quot;, [&quot;name&quot;, &quot;location&quot;, &quot;temperature&quot;])):
    def store(self):
        &quot;&quot;&quot;Add this object to the DataBase&quot;&quot;&quot;
        print(&quot;Adding to the database...&quot;)
        # Make a connection to the database
        # INSERT INTO ....

    @property
    def weather(self):
        if self.temperature &gt; 30:
            return &quot;Hot&quot;
        if 10 &lt; self.temperature &lt;= 30:
            return &quot;Moderate&quot;
        if self.temperature &lt;= 10:
            return &quot;Cold&quot;


sensor_1 = Sensor(&quot;A1&quot;, &quot;warehouse125&quot;, 20)
sensor_1.store()
print(f&quot;The weather is {sensor_1.weather}&quot;)
</code></pre>
<p>These <code>.store()</code> and <code>.weather</code> were not in <code>namedtuple</code> class. You <em>extend</em> it and give them extra functionality.</p>
",Distinction between a class (custom data structure) and a namedtuple in Python
Android Apps not working in emulator,"<p>You've got at least a couple whacky things going on, any of them could cause the bomb.</p>

<p>First you've called:</p>

<pre><code>super.onCreate(savedInstanceState);
setContentView(R.layout.main);
</code></pre>

<p>But you've subclassed TabActivity which sets its own content view when you call super.OnCreate.  Given the code you have i'm guessing that your R.layout.main is probably empty.  Get rid of the setContentView call.</p>

<p>Next you call:</p>

<pre><code>intent = new Intent().setClass(this, HelloAndroid.class);
</code></pre>

<p>Your trying to create an intent to display in a tab by passing in this class which itself is a tabHost and will try to do this all again when its onCreate is called.  If android let this happen you'd have just created an infinitely recursive call and it would crash the phone when it ran out of memory.  More likely I imagine Android will just bomb with some exception or the OS will just nuke the process.</p>

<p>Start simpler.  Create a couple basic views in your resources to display in your tabs.</p>
",Issues with Android Applications Functioning in the Emulator Environment
Open Tab(Ordered List) on load?,"<p>Trigger a automatic click on that element after Page is Loaded:</p>

<pre><code>document.addEventListener(""DOMContentLoaded"", function() {
  document.getElementById(""default_city_link"").click();
});
</code></pre>

<p><strong>WORKING SNIPPET:</strong></p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function openCity(evt, cityName) {
  var i, tabcontent, tablinks;
  tabcontent = document.getElementsByClassName(""tabcontent"");
  for (i = 0; i &lt; tabcontent.length; i++) {
    tabcontent[i].style.display = ""none"";
  }
  tablinks = document.getElementsByClassName(""tablinks"");
  for (i = 0; i &lt; tablinks.length; i++) {
    tablinks[i].className = tablinks[i].className.replace("" active"", """");
  }
  document.getElementById(cityName).style.display = ""block"";
  evt.currentTarget.className += "" active"";
}
document.addEventListener(""DOMContentLoaded"", function() {
  document.getElementById(""default_city_link"").click();
});</code></pre>
<pre class=""snippet-code-css lang-css prettyprint-override""><code>body {
  font-family: ""Lato"", sans-serif;
}
ul.tab {
  list-style-type: none;
  margin: 0;
  padding: 0;
  overflow: hidden;
  border: 1px solid #ccc;
  background-color: #f1f1f1;
}
/* Float the list items side by side */

ul.tab li {
  float: left;
}
/* Style the links inside the list items */

ul.tab li a {
  display: inline-block;
  color: black;
  text-align: center;
  padding: 14px 16px;
  text-decoration: none;
  transition: 0.3s;
  font-size: 17px;
}
/* Change background color of links on hover */

ul.tab li a:hover {
  background-color: #ddd;
}
/* Create an active/current tablink class */

ul.tab li a:focus,
.active {
  background-color: #ccc;
}
/* Style the tab content */

.tabcontent {
  display: none;
  padding: 6px 12px;
  border: 1px solid #ccc;
  border-top: none;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;p&gt;Click on the links inside the tabbed menu:&lt;/p&gt;

&lt;ul class=""tab""&gt;
  &lt;li&gt;&lt;a href=""#"" id=""default_city_link"" class=""tablinks"" onclick=""openCity(event, 'London')""&gt;London&lt;/a&gt;
  &lt;/li&gt;
  &lt;li&gt;&lt;a href=""#"" class=""tablinks"" onclick=""openCity(event, 'Paris')""&gt;Paris&lt;/a&gt;
  &lt;/li&gt;
  &lt;li&gt;&lt;a href=""#"" class=""tablinks"" onclick=""openCity(event, 'Tokyo')""&gt;Tokyo&lt;/a&gt;
  &lt;/li&gt;
&lt;/ul&gt;

&lt;div id=""London"" class=""tabcontent""&gt;
  &lt;h3&gt;London&lt;/h3&gt;
  &lt;p&gt;London is the capital city of England.&lt;/p&gt;
&lt;/div&gt;

&lt;div id=""Paris"" class=""tabcontent""&gt;
  &lt;h3&gt;Paris&lt;/h3&gt;
  &lt;p&gt;Paris is the capital of France.&lt;/p&gt;
&lt;/div&gt;

&lt;div id=""Tokyo"" class=""tabcontent""&gt;
  &lt;h3&gt;Tokyo&lt;/h3&gt;
  &lt;p&gt;Tokyo is the capital of Japan.&lt;/p&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>
",How can I automatically display an ordered list tab when the page loads?
PIL doesn't recognize jpeg library under Mac OS,"<p>I don't understand why, but reinstalling PIL fixed the issue:</p>

<pre><code>sudo pip uninstall pil
sudo pip install pil
</code></pre>
",PIL fails to detect the JPEG library on macOS.
__setattr__ only when attribute does not exist,"<p>You could use a custom <code>__getattr__</code> to know if the attribute exists or not.</p>

<p>To set the attribute with default behavior, <a href=""http://docs.python.org/reference/datamodel.html#object.__setattr__"" rel=""nofollow"">you do something like</a>:</p>

<pre><code>object.__setattr__(self, name, value)
</code></pre>
",Invoke __setattr__ exclusively for non-existent attributes
Defining private module functions in python,"<p>In Python, ""privacy"" depends on ""consenting adults'"" levels of agreement - you can't <em>force</em> it (any more than you can in real life;-).  A single leading underscore means you're not <strong>supposed</strong> to access it ""from the outside"" -- <strong>two</strong> leading underscores (w/o trailing underscores) carry the message even more forcefully... but, in the end, it still depends on social convention and consensus: Python's introspection is forceful enough that you can't <strong>handcuff</strong> every other programmer in the world to respect your wishes.</p>

<p>((Btw, though it's a closely held secret, much the same holds for C++: with most compilers, a simple <code>#define private public</code> line before <code>#include</code>ing your <code>.h</code> file is all it takes for wily coders to make hash of your ""privacy""...!-))</p>
",Establishing encapsulated functions within a Python module
